Date,ETH_Close,ETH_Volume,Log return ETH,Number of sales in all segments,Active market wallets in all segments,Average USD,Sales USD
2022-08-23,1662.769897,18322041914,0.01064587963,43922,24592,506.16,22231411.12
2022-08-24,1657.059204,16780932907,-0.001494128058,44958,23149,498.03,22390496
2022-08-25,1696.457031,14818795695,0.01020483869,37189,22164,634.13,23582626.47
2022-08-26,1507.782837,26713710143,-0.05120406856,39308,23032,469.13,18440704.97
2022-08-27,1491.39502,18120831899,-0.004746106877,34760,20692,463.37,16106730.88
2022-08-28,1430.547363,12823572918,-0.01809044745,37959,21152,394.42,14971732.16
2022-08-29,1553.037354,17965837488,0.03567966047,45169,27737,370.91,16753783.5
2022-08-30,1523.838867,21835784470,-0.008242855118,30469,20840,673.48,20520150.59
2022-08-31,1553.684937,20591680941,0.008423908783,43211,21575,411.55,17783366.55
2022-09-01,1586.176758,16434276817,0.008988626673,27117,19224,479.16,12993444.22
2022-09-02,1577.220459,17708478709,-0.002459180027,31790,20186,454.05,14434198.07
2022-09-03,1556.872681,9516825994,-0.005639303923,33660,19564,366.55,12338198.18
2022-09-04,1577.641602,8884144998,0.005755251992,29834,18353,393.26,11732565.01
2022-09-05,1617.183228,13060541168,0.01075087858,38709,21103,382.79,14817259.02
2022-09-06,1561.748535,22946059125,-0.01514812134,60074,24008,243.51,14628521.02
2022-09-07,1629.906372,19560363854,0.01855155037,50927,25232,321.23,16359305.66
2022-09-08,1635.347656,17621046717,0.001447435197,43273,21766,424.55,18371379.88
2022-09-09,1719.085449,20242323690,0.0216873715,47649,20189,300.37,14312147.84
2022-09-10,1776.203735,13130928217,0.01419531466,68925,19491,235.89,16258832.64
2022-09-11,1761.800049,12464301922,-0.003536161231,50309,18045,333.64,16785149.46
2022-09-12,1713.765259,17688391310,-0.01200528305,35114,19788,407.27,14300878.77
2022-09-13,1580.787964,23066821734,-0.03507771411,33260,19463,526.38,17507276.08
2022-09-14,1634.755005,17897150206,0.01457905511,30239,18222,405.84,12272070.67
2022-09-15,1471.693481,26946275878,-0.04563530955,27962,19659,470.77,13163695.67
2022-09-16,1432.447754,16764804299,-0.01173857533,35811,22038,463.96,16614852.03
2022-09-17,1469.741699,10798098671,0.0111622252,44017,23372,316.65,13938158.21
2022-09-18,1335.329102,15762284723,-0.04165270194,37472,22850,349.21,13085602.79
2022-09-19,1377.541382,18712714223,0.01351634007,44484,23002,329.89,14674628.6
2022-09-20,1324.388184,14722317220,-0.01708935675,33596,20216,483.16,16232366.79
2022-09-21,1252.607788,20643507800,-0.02420018982,31275,19739,588.3,18399186.54
2022-09-22,1327.680176,18461527259,0.02527836315,31675,20543,602.25,19076157.1
2022-09-23,1328.259521,18771106339,0.0001894669076,35576,19999,440.56,15673265.55
2022-09-24,1317.993286,12098209717,-0.003369739707,54480,20025,259.46,14135152.22
2022-09-25,1294.216797,11802651633,-0.007906165905,38734,20568,296.02,11466069.53
2022-09-26,1335.32019,16034549271,0.01357838355,40403,21542,316.29,12779102.86
2022-09-27,1330.127686,17870598937,-0.001692082376,28994,20517,485.94,14089323.39
2022-09-28,1337.410889,18994979566,0.002371521644,32109,20640,1363.48,43780139.82
2022-09-29,1335.652344,13796915736,-0.0005714241926,43446,24577,446.91,19416272.33
2022-09-30,1327.978638,14250100093,-0.002502341664,35835,21973,505.42,18111810.32
2022-10-01,1311.644409,6227961237,-0.005374976611,38967,20844,519.25,20233797.65
2022-10-02,1276.093506,7578351650,-0.01193361381,40998,21749,351.01,14390789.46
2022-10-03,1323.439209,10153070907,0.0158214986,26778,19513,567.46,15195362.99
2022-10-04,1362.126587,10139774963,0.01251347273,26848,18919,486.8,13069492.25
2022-10-05,1352.837158,9774451820,-0.002971946499,38437,21116,276.43,10625048.96
2022-10-06,1351.709473,12033514861,-0.0003621659879,33455,20516,407.92,13647087.47
2022-10-07,1332.516968,10061619355,-0.006210609459,46361,23824,297.31,13783610.27
2022-10-08,1315.500488,5804676208,-0.005581734423,36766,21427,307.1,11290786.32
2022-10-09,1322.604248,5486230123,0.002338899729,20867,16312,488.56,10194696.02
2022-10-10,1291.337646,8794491050,-0.01039010118,24521,16813,420.91,10321254.16
2022-10-11,1279.575684,9274845260,-0.003973833558,25834,17725,461.81,11930300.04
2022-10-12,1294.906372,8355638578,0.005172389442,22302,16744,513.73,11457152.16
2022-10-13,1288.123901,17499038202,-0.002280729366,31835,20035,409.22,13027523.76
2022-10-14,1297.422119,13113767755,0.0031236591,26078,18784,453.72,11832068.46
2022-10-15,1274.871704,6798512624,-0.007614815706,27476,18101,494.99,13600270.68
2022-10-16,1306.296631,7491625206,0.0105753248,25296,16736,392.83,9937084.03
2022-10-17,1331.713623,9401189650,0.008369035675,28861,18578,442.27,12764322.8
2022-10-18,1310.447021,10416747806,-0.006991374562,21004,15475,505.11,10609393.9
2022-10-19,1285.744263,8350692785,-0.008264872726,21391,16181,517.07,11060636.36
2022-10-20,1283.200928,9009111996,-0.0008599301541,18395,15571,564.61,10386071.62
2022-10-21,1299.946411,10412565245,0.005630784299,17799,14595,647.34,11521941.71
2022-10-22,1314.299194,7175324564,0.004768792248,18192,13792,536.75,9764521.47
